,Name,Old_team,New_team,Price
170,Ben Chrisene,Aston Villa,Norwich,1.8M
171,Filip Jørgensen,Villarreal,Chelsea,24.5M
172,Dean Huijsen,Juventus,B'mouth,19.6M
173,Jake O'Brien,Lyon,Everton,19.5M
174,Shola Shoretire,Man Utd,PAOK,Free
175,Riccardo Calafiori,Bologna,Arsenal,45M
176,Raphaël Varane,Man Utd,Como,Free
177,Malang Sarr,Chelsea,Lens,Free
178,Fin Stevens,Brentford,St. Pauli,0.6M
179,Ryan Sessegnon,Tottenham,Fulham,Free
180,Marc Leonard,Brighton,Birmingham City,0.6M
181,Moussa Diaby,Aston Villa,Al-Ittihad,60M
182,Cody Drameh,Leeds United,Hull City,Free
183,Amadou Onana,Everton,Aston Villa,59.4M
184,Caleb Wiley,Atlanta United,Chelsea,10.1M
185,Tommy Setford,Ajax,Arsenal,0.9M
186,Jayden Bogle,Sheff Utd,Leeds United,6M
187,Miodrag Pivas,Jedinstvo,Newcastle,0.8M
188,Tyrese Francois,Fulham,Wigan,Free
189,Kacper Kozlowski,Brighton,Gaziantep,0.2M
190,Jaden Philogene,Hull City,Aston Villa,16M
191,Theodore Adelusi,Tottenham,Norwich,Free
192,Harrison Sohna,Sunderland,Cheltenham,Free
193,Shae Cahill,Brisbane,Nottingham,Free
194,Nikola Milenković,Fiorentina,Nottingham,12.3M
195,Mason Greenwood,Man Utd,Marseille,26M
196,Leny Yoro,Lille,Man Utd,62M
197,Savinho,Troyes,Man City,25M
198,Jack Rogers,Burnley,Wigan,Free
199,Callum West,Burnley,Barnsley,Free
200,Jack Bates,Burnley,Wigan,Free
201,Andréas Hountondji,Caen,Burnley,4M
202,Arijanet Murić,Burnley,Ipswich Town,9.6M
203,Lucas Pires,Santos,Burnley,2.3M
204,Flynn Downes,West Ham,Southampton,17.9M
205,Glen Kamara,Leeds United,Stade Rennais,10M
206,Viljami Sinisalo,Aston Villa,Celtic,1.2M
207,Jack Barrett,Everton,Blackburn,Free
208,Kieffer Moore,B'mouth,Sheff Utd,1.8M
209,Sebastian Revan,Aston Villa,Wrexham,0.4M
210,Willy Kambwala,Man Utd,Villarreal,10M
211,Joshua Zirkzee,Bologna,Man Utd,42.5M
212,Calum Chambers,Aston Villa,Cardiff City,Free
213,Liam Delap,Man City,Ipswich Town,17.9M
214,Troy Parrott,Tottenham,AZ,4M
215,Taylor Foran,Arsenal,Bromley,Free
216,Sergio Gómez,Man City,Real Sociedad,8.7M
217,Malick Yalcouyé,Goteborg,Brighton,7M
218,Renato Veiga,Basel,Chelsea,14M
219,Hayden Allmark,Liverpool,Cardiff City,Free
220,Alan Browne,Preston,Sunderland,Free
221,Koby Mottoh,Portsmouth,B'mouth,Free
222,João Palhinha,Fulham,Bayern Munich,51M
223,Cameron Archer,Sheff Utd,Aston Villa,16.7M
224,Donny van de Beek,Man Utd,Girona,0.5M
225,Reuell Walters,Arsenal,Luton,Free
226,Charlie Veevers,Swansea,Burnley,Free
227,Muhamed Diomande,Wolves,West Bromwich,Free
228,Japhet Tanganga,Tottenham,Millwall,Free
229,Charlie McNeill,Man Utd,Sheff Wed,Free
230,Dylan Mitchell,Aston Villa,Swindon Town,Free
231,Daniel Jebbison,Sheff Utd,B'mouth,Free
232,Carlos Miguel,Corinthians,Nottingham,4M
233,Luke Hewitson,Liverpool,Fleetwood,Free
234,Diego Llorente,Leeds United,Real Betis,3.3M
235,Georgios Okkas,Fulham,Rio Ave,Free
236,Thomas Strakosha,Brentford,AEK,Free
237,Mika Biereth,Arsenal,Sturm Graz,9M
238,Adrián,Liverpool,Real Betis,Free
239,Charlie Cresswell,Leeds United,Toulouse,4.5M
240,Michael Olise,C. Palace,Bayern Munich,53M
241,Amario Cozier-Duberry,Arsenal,Brighton,Free
242,Michael Golding,Chelsea,Leicester,5.9M
243,Kristoffer Klaesson,Leeds United,Rakow,Free
244,Mats Wieffer,Feyenoord,Brighton,32M
245,Shandon Baptiste,Brentford,Luton,Free
246,Bobby De Cordova-Reid,Fulham,Leicester,Free
247,Maximilian Kilman,Wolves,West Ham,47.5M
248,Francis Gyimah,Liverpool,Stoke City,Free
249,Noah Kailen Cooper,Arsenal,Stoke City,Free
250,Luis Brown,Arsenal,West Ham,Free
251,Tanguy Ndombélé,Tottenham,Nice,Free
252,Jamie Shackleton,Leeds United,Sheff Utd,Free
253,Moussa Niakhaté,Nottingham,Lyon,31.9M
254,Mackenzie Hunt,Everton,Fleetwood,Free
255,Iliman Ndiaye,Marseille,Everton,18M
256,Dylan Graham,Everton,Larne,Free
257,Michael Spellman,Sunderland,Newport,Free
258,Orel Mangala,Nottingham,Lyon,23.4M
259,Joe Rodon,Tottenham,Leeds United,11.8M
260,Kiernan Dewsbury-Hall,Leicester,Chelsea,35.4M
261,L. Fiorini,Man City,Stockport,0.4M
262,Chadi Riad,Real Betis,C. Palace,15M
263,Omari Hutchinson,Chelsea,Ipswich Town,23.5M
264,Jemiah Umolu,West Ham,C. Palace,Free
265,Archie Gray,Leeds United,Tottenham,41.3M
266,Kyle Crossley,Newcastle,South Shields FC,Free
267,Václav Hladký,Ipswich Town,Burnley,Free
268,Tim Iroegbunam,Aston Villa,Everton,10.7M
269,Bradley Dack,Sunderland,Gillingham,Free
270,Frankie Ealing,Aston Villa,Aberystwyth,Free
271,Igor Thiago,Brugge,Brentford,33M
272,Ben Godfrey,Everton,Atalanta,12.5M
273,Ian Poveda,Leeds United,Sunderland,Free
274,Ian Maatsen,Chelsea,Aston Villa,44.5M
275,Renaldo Torraj,Burnley,Teuta,Free
276,Jordan Hackett-Valton,Newcastle,Mousehole AFC,Free
277,Ellis Taylor,Sunderland,Harrogate,Free
278,Leigh Kavanagh,Brighton,Bohemians,Free
279,Arthur Okonkwo,Arsenal,Wrexham,Free
280,Davon Gbajumo,Chelsea,Peterborough,Free
281,Harry Redknapp,B'mouth,Dorchester Town,Free
282,Jamal Lowe,B'mouth,Sheff Wed,Free
283,Jamie Cumming,Chelsea,Oxford,Free
284,Andy Lonergan,Everton,Wigan,Free
285,Kofi Balmer,C. Palace,Motherwell,Free
286,Eric Dier,Tottenham,Bayern Munich,Free
287,Charlie Webster,Chelsea,Burton Albion,Free
288,Joe Ryder,Sunderland,High Point Panthers (High Point University),Free
289,Dylan Stephenson,Newcastle,Dagenham,Free
290,Daichi Kamada,Lazio,C. Palace,Free
291,Saïd Benrahma,West Ham,Lyon,14.4M
292,Melkamu Frauendorf,Liverpool,Hannover 96,Free
293,Hakim Ziyech,Chelsea,Galatasaray,Free
294,Bailey Peacock-Farrell,Burnley,Birmingham City,0.5M
295,Alex Paulsen,Wellington,B'mouth,2.3M
296,Marko Stamenic,Crvena Zvezda,Nottingham,5.5M
297,Michael Ndiweni,Newcastle,Ashington AFC,Free
298,Mike Tresor,Genk,Burnley,18M
299,Morten Spencer,Leeds United,Derby,Free
300,Luke Ayling,Leeds United,Middlesbrough,Free
301,John Ruddy,Birmingham City,Newcastle,Free
302,Joseph Anang,West Ham,St Patrick`s,Free
303,Jack Diamond,Sunderland,Stockport,Free
304,Ben Greenwood,B'mouth,Weymouth FC,Free
305,Simon Moore,Coventry,Sunderland,Free
306,Hubert Graczyk,Arsenal,Man Utd,Free
307,Maxime Estève,Montpellier,Burnley,12M
308,Elliot Anderson,Newcastle,Nottingham,41.2M
309,Angel Waruih,Brentford,Eastleigh FC,Free
310,Odysseas Vlachodimos,Nottingham,Newcastle,23.6M
311,Enzo Barrenechea,Juventus,Aston Villa,8M
312,Keenan Carole,Leeds United,Servette,Free
313,David Raya,Brentford,Arsenal,31.9M
314,Douglas Luiz,Aston Villa,Juventus,51.5M
315,Jack Hinchy,Brighton,Notts County,Free
316,Lewis Warrington,Everton,Leyton Orient,Free
317,Pedro Lima,Recife,Wolves,10M
318,Lucas Bergvall,Djurgarden,Tottenham,20M
319,Ovie Ejeheri,Arsenal,Midtjylland,Free
320,Daniel Oyegoke,Brentford,Hearts,Free
321,Katia Kouyate,Everton,Barrow,Free
322,Wes Foderingham,Sheff Utd,West Ham,Free
323,Guido Rodríguez,Real Betis,West Ham,Free
324,Ben Johnson,West Ham,Ipswich Town,Free
325,Lloyd Kelly,B'mouth,Newcastle,Free
326,Morgan Sanson,Aston Villa,Nice,4M
327,Charlie Allen,Leeds United,Linfield,Free
328,Jacob Knightbridge,West Ham,Oxford,Free
329,Thiago Silva,Chelsea,Fluminense,Free
330,Marek Rodák,Fulham,Al-Ettifaq,Free
331,Remo Freuler,Nottingham,Bologna,1.9M
332,Teddy Rowe,Aston Villa,Leamington FC,Free
333,Eric da Silva Moreira,St. Pauli,Nottingham,1.5M
334,Willian,Fulham,Olympiakos,Free
335,Marc Roca,Leeds United,Real Betis,4.5M
336,Louie Moulden,Wolves,C. Palace,Free
337,Scott Banks,C. Palace,St. Pauli,0.4M
338,Rohan Vaughan,Burnley,QPR,Free
339,Shurandy Sambo,PSV,Burnley,Free
340,Scott Godden,Leeds United,Rutgers Scarlet Knights (Rutgers University of NJ),Free
341,Omari Forson,Man Utd,Monza,Free
342,Remy Bennison,Brentford,Southall United,Free
343,Omari Kellyman,Aston Villa,Chelsea,22.5M
344,Adam Lallana,Brighton,Southampton,Free
345,Adam Lewis,Liverpool,Morecambe,Free
346,John-Kymani Gordon,C. Palace,Colchester,Free
347,Mohamed Elneny,Arsenal,Al-Jazira,Free
348,Álvaro Carreras,Man Utd,Benfica,14.3M
349,Rodrigo Gomes,Sporting Braga,Wolves,15M
350,Kyle John,Everton,Port Vale,Free
351,Ivan Perišić,Tottenham,Hajduk Split,Free
352,Harvey Sutcliffe,Leeds United,Halifax,Free
353,Lewis Bate,Leeds United,Stockport,Free
354,Jack Wadham,B'mouth,Sutton United,Free
355,Enes Ünal,Getafe,B'mouth,16.5M
356,Brody Peart,Brighton,Wycombe,Free
357,Luis Guilherme,Palmeiras,West Ham,23M
358,Joe Young,Wolves,Shrewsbury Town,Free
359,Nathan Trott,West Ham,Kobenhavn,1.5M
360,Arthur Gregory,Brighton,Worthing U18,Free
361,Billy Vigar,Arsenal,Hastings United,Free
362,Ross Barkley,Luton,Aston Villa,5.9M
363,Taylor Harwood-Bellis,Man City,Southampton,23M
364,Marc Guiu,Barcelona,Chelsea,6M
365,Lewis Dobbin,Everton,Aston Villa,11.8M
366,Yankuba Minteh,Newcastle,Brighton,35M
367,Asmir Begović,QPR,Everton,Free
368,Bendegúz Bolla,Wolves,Rapid,Free
369,Thilo Kehrer,West Ham,Monaco,11M
370,Ibrahim Osman,Nordsjaelland,Brighton,19.5M
371,Kelland Watts,Newcastle,Cambridge,Free
372,Tommy Doyle,Man City,Wolves,5M
373,Tosin Adarabioyo,Fulham,Chelsea,Free
374,Dan Chesters,West Ham,Salford,Free
375,Luis Sinisterra,Leeds United,B'mouth,23.4M
376,Robin Koch,Leeds United,E. Frankfurt,Free
377,Mikey O'Neill,Burnley,Warrington Town FC,Free
378,Samuel Iling-Junior,Juventus,Aston Villa,14M
379,Cătălin Cîrjan,Arsenal,Dinamo Bucuresti,Free
380,Lewis Hall,Chelsea,Newcastle,33M
381,Charlie Taylor,Burnley,Southampton,Free
