Name,Nation,Team,Position,Age,Born,Matches,Starts,Minutes,90s,G+A,non_penalty_goals,penalty_goals,yellow_cards,red_cards,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,per90_Gls,per90_Ast,per90_G+A,per90_G-PK,per90_G+A-PK,per90_xG,per90_xAG,per90_xG+xAG,per90_npxG,per90_npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKSV,PKm,PK_Save%,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att(GK),Thr,Launch%,Pass_AvgLen,GK_AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,xG_Shooting,npxG_Shooting,npxG/Sh,G-xG,np:G-xG,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xAG,KP,1/3,PPA,CrsPA,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Sw,Pass_Crs,Pass_TI,Pass_CK,Corner_In,Corner_Out,Corner_Str,Pass_Cmp_Outcome,Pass_Off,Pass_Blocks,SCA,SCA90,SCA_type_PassLive,SCA_type_PassDead,SCA_type_TO,SCA_type_Sh,SCA_type_Fld,SCA_type_Def,GCA,GCA90,GCA_type_PassLive,GCA_type_PassDead,GCA_type_TO,GCA_type_Sh,GCA_type_Fld,GCA_type_Def,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Touches,Def_Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,PKwon,PKcon,Recov,Won,Lost,Won%,GK_Save%,Minutes_num
Axel Disasi,fr FRA,Aston Villa,DF,26,1998,7,5,490,5.4,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,490.0
Axel Disasi,fr FRA,Chelsea,DF,26,1998,6,4,364,4.0,1,1,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,1,50.0,0.49,0.25,0.50,1.00,12.3,0,0.3,0.3,0.14,+0.7,+0.7,266,293,90.8,953,519,136,144,94.4,117,126,92.9,9,13,69.2,0,0.1,-0.1,2,3,2,0,266,27,10,0,1,0,17,0,0,0,0,266,0,2,2,0.49,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,7,4,110,175,40,6,11,54.5,5,4,1,3,2,9,11,1,323,17,2,323,1,100.0,0,0.0,196,0,1,3,N/A,61,10.6,79,2,2,24,9,2.17,5,3,+2,+0.49,+0.28,9.5,6.3,+3.2,+0.79,1,0,0,2,0,0,0,2,0,0,15,5,2,71.4,,364.0
Matt Doherty,ie IRL,Wolves,DF,32,1992,30,25,"2,109",23.4,3,2,0,6,0,1.0,1.0,1.5,2.6,29,79,41,0.09,0.04,0.13,0.09,0.13,0.04,0.07,0.11,0.04,0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,10,3,30.0,0.43,0.13,0.20,0.67,11.4,0,1.0,1.0,0.10,+1.0,+1.0,1078,1302,82.8,3666,2176,435,483,90.1,514,591,87.0,115,186,61.8,1,1.2,-0.5,12,20,15,1,1177,121,55,2,22,22,66,0,0,0,0,1078,4,14,25,1.07,19,3,1,1,1,0,3,0.13,3,0,0,0,0,0,38,21,614,748,190,17,25,68.0,8,28,15,13,22,60,102,3,1534,126,26,1534,11,52.4,7,33.3,825,4,11,5,N/A,70,61.7,83,16,5,9,8,1.33,27,38,-11,-0.47,+0.44,27.9,32.8,-5.0,-0.21,6,0,0,18,11,2,22,22,0,0,106,56,21,72.7,,2109.0
Jeremy Doku,be BEL,Manchester City,"FW,MF",22,2002,29,16,"1,516",16.8,9,3,0,1,0,1.3,1.3,4.8,6.1,213,69,286,0.18,0.36,0.53,0.18,0.53,0.08,0.29,0.36,0.08,0.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,29,9,31.0,1.72,0.53,0.10,0.33,17.7,0,1.3,1.3,0.05,+1.7,+1.7,603,762,79.1,7581,4865,400,463,86.4,183,226,81.0,14,21,66.7,6,3.8,+1.2,32,95,48,6,757,3,0,8,0,59,1,2,0,0,0,603,2,30,79,4.69,60,1,13,1,3,1,14,0.83,11,0,3,0,0,0,31,22,46,233,772,8,15,53.3,7,11,1,10,4,35,2,0,1027,4,161,1027,107,53.2,60,29.9,796,109,59,59,N/A,52,44.3,81,6,13,17,4,1.90,34,14,+20,+1.19,+1.07,33.5,14.4,+19.1,+1.13,1,0,0,10,33,5,59,4,0,0,63,0,12,0.0,,1516.0
Nicolás Domínguez,ar ARG,Nott'ham Forest,"MF,FW",26,1998,34,23,"1,963",21.8,1,0,0,9,0,1.5,1.5,1.3,2.8,16,83,33,0.00,0.05,0.05,0.00,0.05,0.07,0.06,0.13,0.07,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,21,9,42.9,0.96,0.41,0.00,0.00,18.9,0,1.5,1.5,0.07,-1.5,-1.5,821,947,86.7,1863,924,463,508,91.1,279,312,89.4,34,55,61.8,1,1.6,-0.3,13,14,11,1,890,50,22,7,0,7,6,0,0,0,0,821,7,11,38,1.74,29,1,0,3,3,2,0,0.00,0,0,0,0,0,0,86,45,303,630,295,36,76,47.4,40,38,12,26,29,115,54,1,1218,78,33,1218,3,33.3,4,44.4,471,2,23,12,N/A,58,57.4,73,5,11,26,3,1.76,31,27,+4,+0.18,-0.40,25.4,31.1,-5.6,-0.26,9,0,0,33,18,1,7,29,0,0,114,27,23,54.0,,1963.0
Patrick Dorgu,dk DEN,Manchester Utd,DF,19,2004,12,10,842,9.4,0,0,0,3,1,0.4,0.4,0.7,1.2,41,34,83,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.12,0.05,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,10,2,20.0,1.07,0.21,0.00,0.00,16.4,0,0.4,0.4,0.04,-0.4,-0.4,400,494,81.0,1933,1209,250,280,89.3,124,159,78.0,12,28,42.9,0,1.3,-0.7,12,17,11,2,419,74,8,0,1,39,65,1,0,0,0,400,1,8,24,2.57,21,0,0,0,2,1,1,0.11,0,0,0,0,1,0,31,24,155,206,244,16,23,69.6,7,11,0,11,4,35,23,2,602,16,32,602,3,23.1,6,46.2,354,7,12,10,N/A,70,24.6,77,6,2,34,0,0.75,7,11,-4,-0.43,+0.43,12.6,9.9,+2.7,+0.29,3,1,0,17,28,3,39,4,0,0,37,15,9,62.5,,842.0
Abdoulaye Doucouré,ml MLI,Everton,MF,31,1993,33,31,"2,564",28.5,5,3,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,31,9,29.0,1.09,0.32,0.10,0.33,14.0,0,4.1,4.1,0.13,-1.1,-1.1,725,903,80.3,2952,1396,382,446,85.7,263,316,83.2,44,60,73.3,2,1.4,-0.4,28,26,15,0,884,14,5,0,2,23,0,0,0,0,0,725,5,27,58,2.04,52,0,3,2,0,1,3,0.11,2,0,0,0,0,1,48,28,225,538,413,14,43,32.6,29,31,6,25,10,58,20,1,1161,32,65,1161,24,53.3,21,46.7,604,8,38,38,N/A,78,75.0,82,16,2,12,1,1.30,28,33,-5,-0.18,-0.07,31.0,34.8,-3.8,-0.13,5,1,1,49,5,10,23,10,0,0,150,30,44,40.5,,2564.0
Cheick Doucouré,ml MLI,Crystal Palace,MF,24,2000,13,4,452,5.0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,7,0,0.0,1.39,0.00,0.00,N/A,20.6,0,0.4,0.4,0.06,-0.4,-0.4,174,204,85.3,581,280,84,94,89.4,70,78,89.7,16,20,80.0,0,0.1,0.0,1,7,3,0,201,3,3,0,0,1,0,0,0,0,0,174,0,4,9,1.79,5,0,0,2,1,1,3,0.60,1,0,0,1,1,0,16,8,56,165,45,5,11,45.5,6,4,0,4,11,27,10,1,263,11,4,263,2,40.0,2,40.0,133,1,4,7,N/A,35,13.2,55,0,9,26,4,1.38,5,6,-1,-0.20,-0.54,6.8,7.7,-0.9,-0.17,1,0,0,7,7,0,1,11,0,0,31,5,5,50.0,,452.0
Flynn Downes,eng ENG,Southampton,MF,25,1999,27,25,"2,151",23.9,1,1,0,12,0,0.6,0.6,1.1,1.7,29,66,29,0.04,0.00,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,10,3,30.0,0.42,0.13,0.10,0.33,18.7,0,0.6,0.6,0.06,+0.4,+0.4,1003,1109,90.4,3520,1826,577,620,93.1,352,382,92.1,37,53,69.8,0,1.4,-1.1,15,21,12,0,1079,29,29,7,1,4,0,0,0,0,0,1003,1,13,31,1.30,27,2,0,1,0,1,2,0.08,1,1,0,0,0,0,49,25,403,719,227,15,36,41.7,21,28,9,19,32,81,51,4,1339,99,21,1339,8,40.0,8,40.0,641,4,15,17,N/A,80,62.9,85,18,2,13,2,0.33,14,49,-35,-1.46,+0.82,21.2,46.7,-25.5,-1.07,12,0,0,50,39,0,4,32,0,0,83,17,17,50.0,,2151.0
Tommy Doyle,eng ENG,Wolves,MF,22,2001,24,3,488,5.4,1,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.20,0.10,0.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,9,2,22.2,1.66,0.37,0.00,0.00,24.5,0,0.6,0.6,0.06,-0.6,-0.6,321,392,81.9,1417,578,112,119,94.1,138,155,89.0,61,93,65.6,1,0.3,+0.5,7,3,3,0,353,35,19,0,6,15,3,12,6,4,0,321,4,8,17,3.13,11,4,1,1,0,0,3,0.55,2,0,1,0,0,0,11,6,128,258,80,6,15,40.0,9,11,5,6,5,16,11,1,463,22,4,463,5,55.6,1,11.1,260,0,9,4,N/A,20,14.3,70,1,21,13,9,0.96,7,10,-3,-0.55,-0.30,6.9,10.3,-3.4,-0.63,1,0,0,5,5,0,15,5,0,0,43,1,6,14.3,,488.0
Radu Drăgușin,ro ROU,Tottenham,DF,22,2002,16,14,"1,252",13.9,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,5,1,20.0,0.36,0.07,0.00,0.00,12.7,0,0.1,0.1,0.02,-0.1,-0.1,716,840,85.2,3349,1666,223,245,91.0,437,470,93.0,47,107,43.9,0,0.2,-0.4,4,3,2,1,793,47,40,1,3,1,3,0,0,0,0,716,0,5,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,10,6,510,430,30,6,12,50.0,6,22,16,6,15,25,49,4,961,148,12,961,0,0.0,0,0.0,623,0,8,2,N/A,78,36.6,83,11,2,43,7,0.88,25,29,-4,-0.29,-0.71,21.8,29.7,-7.9,-0.57,1,0,0,6,10,0,1,15,0,0,48,33,22,60.0,,1252.0
Martin Dúbravka,sk SVK,Newcastle Utd,GK,35,1989,10,10,900,10.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12,1.20,41,29,70.7,7,0,3,5,50.0,0,0,0,0,N/A,0,1,0,12.9,0.32,+0.9,+0.09,18,0,22.5,273,54,62.7,25.2,45.4,127,10,7.9,11,1.10,15.3,0,0,0,N/A,0.00,0.00,N/A,N/A,N/A,0,0.0,0.0,N/A,0.0,0.0,265,333,79.6,1043,643,58,58,100.0,161,161,100.0,45,112,40.2,0,0.0,0.0,0,0,0,0,246,86,27,0,1,0,0,0,0,0,0,265,1,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,337,14,0,0,0,N/A,0,0,0,0,0,0,3,0,350,262,0,350,0,N/A,0,N/A,202,0,0,0,N/A,90,26.3,90,10,0,N/A,24,2.10,23,12,+11,+1.10,+0.62,20.2,10.8,+9.4,+0.94,0,0,0,0,1,0,0,0,0,0,18,4,0,100.0,,900.0
Lewis Dunk,eng ENG,Brighton,DF,32,1991,25,23,"2,083",23.1,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,12,3,25.0,0.52,0.13,0.00,0.00,12.1,0,0.8,0.8,0.07,-0.8,-0.8,1778,1953,91.0,6155,3345,668,693,96.4,954,1002,95.2,143,228,62.7,0,1.0,-0.5,6,19,6,0,1818,131,67,2,10,5,10,0,0,0,0,1778,4,7,19,0.82,17,0,0,2,0,0,3,0.13,2,0,0,1,0,0,17,10,993,1031,113,11,19,57.9,8,28,18,10,13,30,79,2,2127,258,21,2127,0,0.0,1,100.0,1341,0,9,3,N/A,83,60.9,89,21,2,24,2,1.24,33,42,-9,-0.39,-0.65,32.1,35.4,-3.3,-0.14,5,0,0,7,11,2,5,13,0,0,104,51,31,62.2,,2083.0
Jáder Durán,co COL,Aston Villa,FW,20,2003,20,4,638,7.1,7,7,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,4.9,4.9,0.16,+2.1,+2.1,115,163,70.6,535,267,68,84,81.0,34,50,68.0,5,11,45.5,0,0.3,-0.2,4,7,1,0,155,7,0,2,0,3,0,0,0,0,0,115,1,4,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,8,7,36,110,122,1,4,25.0,3,5,0,5,0,8,13,0,263,13,47,263,3,21.4,9,64.3,133,2,16,15,N/A,32,18.7,60,0,16,25,1,1.50,12,12,0,0.00,-0.28,9.2,9.7,-0.5,-0.07,3,1,0,14,15,5,3,0,0,0,19,19,19,50.0,,638.0
Ederson,br BRA,Manchester City,GK,30,1993,26,26,"2,320",25.8,4,0,0,4,0,0.0,0.0,1.5,1.5,0,2,0,0.00,0.16,0.16,0.00,0.16,0.00,0.06,0.06,0.00,0.06,26,1.01,78,53,69.2,16,4,6,10,38.5,0,2,0,0,N/A,0,3,0,30.0,0.37,+5.0,+0.19,72,0,43.6,846,108,23.4,27.9,31.9,224,13,5.8,49,1.90,17.5,0,0,0,N/A,0.00,0.00,N/A,N/A,N/A,0,0.0,0.0,N/A,0.0,0.0,811,923,87.9,3060,1981,142,142,100.0,471,479,98.3,194,297,65.3,4,0.2,+2.5,4,0,1,0,817,106,29,1,2,0,0,0,0,0,0,811,0,1,6,0.23,6,0,0,0,0,0,4,0.16,4,0,0,0,0,0,0,0,962,13,0,0,2,0.0,2,0,0,0,1,1,11,4,975,689,0,975,0,N/A,0,N/A,654,0,1,0,N/A,89,67.8,89,25,0,N/A,4,2.00,49,26,+23,+0.89,+0.78,49.0,28.7,+20.3,+0.79,4,0,0,1,0,0,0,1,0,1,42,4,1,80.0,0.0,2320.0
Odsonne Édouard,fr FRA,Crystal Palace,"MF,FW",26,1998,2,1,115,1.3,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,2,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,20.0,0.00,0.00,0.00,0.00,20.9,0,0.0,0.0,0.08,0.0,0.0,6,8,75.0,25,2,3,4,75.0,1,1,100.0,0,0,100.0,0,0.0,0.0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,1,2,6.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,2,7,11,0,0,0.0,0,0,0,0,0,1,1,0,20,1,6,20,1,50.0,1,50.0,11,1,7,2,N/A,7,0.8,70,0,4,7,3,1.00,0,1,-1,-3.10,-3.64,0.1,1.6,-1.5,-4.64,0,0,0,2,0,0,0,0,0,0,1,1,1,50.0,,115.0
Anthony Elanga,se SWE,Nott'ham Forest,"FW,MF",22,2002,38,31,"2,501",27.8,17,6,0,1,0,4.5,4.5,5.7,10.1,102,63,229,0.22,0.40,0.61,0.22,0.61,0.16,0.20,0.36,0.16,0.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,6,N/A,0,N/A,N/A,N/A,N/A,N/A,83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,44,24,54.5,1.58,0.86,0.14,0.25,17.6,0,4.5,4.5,0.10,+1.5,+1.5,540,827,65.3,4509,2544,318,387,82.2,150,232,64.7,46,131,35.1,11,5.1,+5.3,50,45,26,8,697,126,31,3,0,185,6,86,43,39,0,540,4,24,102,3.67,56,23,5,7,11,0,18,0.65,10,4,1,0,3,0,19,14,136,319,679,5,17,29.4,12,11,1,10,6,25,25,0,1115,29,110,1115,25,30.1,39,47.0,600,48,79,43,N/A,66,73.1,76,12,7,22,0,1.71,45,35,+10,+0.36,-0.15,33.9,37.6,-3.6,-0.13,1,0,0,9,47,18,185,6,0,0,89,24,37,39.3,,2501.0
Harvey Elliott,eng ENG,Liverpool,MF,21,2003,18,2,371,4.1,3,1,0,1,0,1.8,1.8,1.1,2.8,10,44,30,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,17,4,23.5,4.12,0.97,0.06,0.25,16.9,0,1.8,1.8,0.10,-0.8,-0.8,240,292,82.2,872,408,120,130,92.3,91,108,84.3,22,33,66.7,2,0.7,+0.9,10,11,6,0,267,22,2,1,3,12,8,6,3,1,0,240,3,4,21,5.11,17,3,1,0,0,0,3,0.73,3,0,0,0,0,0,5,3,32,164,144,2,8,25.0,6,7,2,5,1,6,3,1,339,5,21,339,4,44.4,4,44.4,188,5,5,4,N/A,21,10.8,79,1,16,13,12,2.06,11,6,+5,+1.21,+0.09,11.2,6.1,+5.1,+1.23,1,0,0,0,1,1,12,1,0,0,15,1,2,33.3,,371.0
Julio Enciso,py PAR,Ipswich Town,"MF,FW",20,2004,13,12,869,9.7,5,2,0,3,0,1.7,1.7,1.4,3.1,23,28,44,0.21,0.31,0.52,0.21,0.52,0.18,0.14,0.32,0.18,0.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,869.0
Julio Enciso,py PAR,Brighton,"MF,FW",20,2004,12,2,294,3.3,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.00,0.00,0.00,0.00,0.00,0.31,0.07,0.38,0.31,0.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,20,11,55.0,6.12,3.37,0.00,0.00,21.3,0,1.0,1.0,0.05,-1.0,-1.0,99,150,66.0,678,386,61,75,81.3,29,40,72.5,5,22,22.7,0,0.3,-0.2,5,10,4,1,134,16,4,0,1,20,0,12,6,3,0,99,0,5,12,3.69,5,1,3,1,2,0,0,0.00,0,0,0,0,0,0,0,0,17,72,116,0,2,0.0,2,2,0,2,0,0,1,0,202,2,20,202,10,47.6,8,38.1,114,4,7,9,N/A,25,8.6,67,0,10,16,7,1.50,3,4,-1,-0.31,-0.28,4.5,4.9,-0.5,-0.14,0,0,0,3,7,0,20,0,0,0,15,6,5,54.5,,294.0
Wataru Endo,jp JPN,Liverpool,"MF,DF",31,1993,20,1,273,3.0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,19,8,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,0.00,0.00,N/A,N/A,N/A,0,0.0,0.0,N/A,0.0,0.0,182,194,93.8,397,169,91,97,93.8,77,80,96.3,8,8,100.0,0,0.1,-0.1,2,3,1,0,188,6,2,0,0,1,4,0,0,0,0,182,0,2,6,1.96,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,12,8,65,124,49,6,10,60.0,4,8,1,7,6,18,9,0,237,12,3,237,2,100.0,0,0.0,110,1,6,3,N/A,14,8.0,68,0,19,11,17,2.50,4,5,-1,-0.33,-0.82,5.4,4.2,+1.2,+0.39,0,0,0,15,7,0,1,6,0,0,14,3,4,42.9,,273.0
