Name,Age,Team,Price
Wilson Isidor,25,Sunderland AFC,€19M
Donyell Malen,26,Aston Villa,€18.9M
Trai Hume,23,Sunderland AFC,€18.8M
Kristoffer Ajer,27,Brentford FC,€18.8M
Fer López,21,Wolverhampton Wanderers,€18.8M
Vitaly Janelt,27,Brentford FC,€18.6M
Aaron Ramsdale,27,Newcastle United,€18.6M
Nathan Aké,30,Manchester City,€18.6M
Lutsharel Geertruida,25,Sunderland AFC,€18.6M
Chadi Riad,22,Crystal Palace,€18.5M
Josh Acheampong,19,Chelsea,€18.5M
Yves Bissouma,29,Tottenham,€18.5M
Joël Piroe,26,Leeds United,€18.5M
Jaidon Anthony,25,Burnley FC,€18.3M
Sean Longstaff,28,Leeds United,€18.3M
Morato,24,Nottingham Forest,€18.3M
Jhon Arias,28,Wolverhampton Wanderers,€18.2M
Anton Stach,26,Leeds United,€18.2M
Marshall Munetsi,29,Wolverhampton Wanderers,€18.1M
Konstantinos Mavropanos,27,West Ham United,€18.1M
Carlos Alcaraz,22,Everton FC,€18M
Jackson Tchatchoua,24,Wolverhampton Wanderers,€17.9M
Joe Willock,26,Newcastle United,€17.8M
Olivier Boscagli,27,Brighton & Hove Albion,€17.7M
Lewis Cook,28,Bournemouth,€17.6M
Marcos Senesi,28,Bournemouth,€17.6M
Dominic Calvert-Lewin,28,Leeds United,€17.5M
Noah Okafor,25,Leeds United,€17.4M
Brenden Aaronson,25,Leeds United,€17.4M
Igor Julio,27,West Ham United,€17.3M
Robin Roefs,22,Sunderland AFC,€17M
Granit Xhaka,33,Sunderland AFC,€17M
Antonín Kinský,22,Tottenham,€16.9M
Nicolò Savona,22,Nottingham Forest,€16.8M
Ryan Sessegnon,25,Fulham FC,€16.8M
James Justin,27,Leeds United,€16.8M
Armando Broja,24,Burnley FC,€16.7M
Joe Gomez,28,Liverpool FC,€16.7M
Mats Wieffer,25,Brighton & Hove Albion,€16.6M
Nathan Patterson,24,Everton FC,€16.6M
Hannibal,22,Burnley FC,€16.5M
Reiss Nelson,25,Brentford FC,€16.4M
Romain Esse,20,Crystal Palace,€16.4M
Kenny Tete,30,Fulham FC,€16.4M
Alisson,33,Liverpool FC,€16.2M
Jack Harrison,28,Leeds United,€16.1M
Josh King,18,Fulham FC,€16.1M
Toti,26,Wolverhampton Wanderers,€16M
Anthony Patterson,25,Sunderland AFC,€16M
Emiliano Martínez,33,Aston Villa,€16M
Diego Coppola,21,Brighton & Hove Albion,€15.9M
Chris Richards,25,Crystal Palace,€15.8M
Gabriel Gudmundsson,26,Leeds United,€15.7M
Ayden Heaven,19,Manchester United,€15.7M
Jordan Pickford,31,Everton FC,€15.6M
Mateo Kovacic,31,Manchester City,€15.6M
Kyle Walker-Peters,28,West Ham United,€15.3M
Emiliano Buendía,28,Aston Villa,€15.1M
Oleksandr Zinchenko,28,Nottingham Forest,€15M
Marc Guiu,19,Chelsea,€14.5M
Jayden Bogle,25,Leeds United,€14.4M
Saša Lukić,29,Fulham FC,€14.4M
Samuel Chukwueze,26,Fulham FC,€14.4M
Ryan Yates,27,Nottingham Forest,€14.4M
Rico Henry,28,Brentford FC,€14.4M
Julián Araujo,24,Bournemouth,€14.4M
Daniel James,27,Leeds United,€14.4M
Bashir Humphreys,22,Burnley FC,€14.3M
Taiwo Awoniyi,28,Nottingham Forest,€14.3M
David Brooks,28,Bournemouth,€14.3M
Illan Meslier,25,Leeds United,€14.2M
Timothy Castagne,29,Fulham FC,€14.1M
Stefan Bajcetic,21,Liverpool FC,€14.1M
John Stones,31,Manchester City,€14M
Andrew Robertson,31,Liverpool FC,€14M
Yerson Mosquera,24,Wolverhampton Wanderers,€13.8M
Jacob Murphy,30,Newcastle United,€13.7M
